2025-09-25T10:36:52.516220 | user_id=11 | session_id=4 | action=start
2025-09-25T10:36:52.708176 | user_id=12 | session_id=5 | action=set_goal
2025-09-25T10:36:53.221061 | user_id=14 | session_id=7 | action=finish
2025-09-25 10:49:18.312123 | user_id=9 | session_id=2 | action=start
2025-09-25 10:49:18.318406 | user_id=9 | session_id=2 | action=pause
2025-09-25 10:49:18.323214 | user_id=9 | session_id=2 | action=restart
2025-09-25 10:49:18.327890 | user_id=9 | session_id=2 | action=finish
2025-09-25 10:49:18.523033 | user_id=10 | session_id=3 | action=start
2025-09-25 10:49:18.528712 | user_id=10 | session_id=3 | action=pause
2025-09-25 10:49:18.535636 | user_id=10 | session_id=3 | action=restart
2025-09-25 10:49:18.539958 | user_id=10 | session_id=3 | action=finish
2025-09-25 10:49:18.757449 | user_id=11 | session_id=4 | action=start
2025-09-25 10:49:18.962082 | user_id=12 | session_id=5 | action=set_goal
2025-09-25 10:49:19.524385 | user_id=14 | session_id=7 | action=finish
2025-09-25 11:24:01.055706 | user_id=9 | session_id=2 | action=start
2025-09-25 11:24:01.062214 | user_id=9 | session_id=2 | action=pause
2025-09-25 11:24:01.067216 | user_id=9 | session_id=2 | action=restart
2025-09-25 11:24:01.071190 | user_id=9 | session_id=2 | action=finish
2025-09-25 11:24:01.255255 | user_id=10 | session_id=3 | action=start
2025-09-25 11:24:01.259050 | user_id=10 | session_id=3 | action=pause
2025-09-25 11:24:01.262177 | user_id=10 | session_id=3 | action=restart
2025-09-25 11:24:01.265288 | user_id=10 | session_id=3 | action=finish
2025-09-25 11:24:01.452740 | user_id=11 | session_id=4 | action=start
2025-09-25 11:24:01.639534 | user_id=12 | session_id=5 | action=set_goal
2025-09-25 11:24:02.162005 | user_id=14 | session_id=7 | action=finish
2025-09-25 11:27:27.211419 | user_id=9 | session_id=2 | action=start
2025-09-25 11:27:27.218875 | user_id=9 | session_id=2 | action=pause
2025-09-25 11:27:27.223542 | user_id=9 | session_id=2 | action=restart
2025-09-25 11:27:27.227356 | user_id=9 | session_id=2 | action=finish
2025-09-25 11:27:27.411129 | user_id=10 | session_id=3 | action=start
2025-09-25 11:27:27.414593 | user_id=10 | session_id=3 | action=pause
2025-09-25 11:27:27.419221 | user_id=10 | session_id=3 | action=restart
2025-09-25 11:27:27.423990 | user_id=10 | session_id=3 | action=finish
2025-09-25 11:27:27.609109 | user_id=11 | session_id=4 | action=start
2025-09-25 11:27:27.821494 | user_id=12 | session_id=5 | action=set_goal
2025-09-25 11:27:28.341931 | user_id=14 | session_id=7 | action=finish
2025-09-25 11:28:50.265219 | user_id=9 | session_id=2 | action=start
2025-09-25 11:28:50.270718 | user_id=9 | session_id=2 | action=pause
2025-09-25 11:28:50.275252 | user_id=9 | session_id=2 | action=restart
2025-09-25 11:28:50.279360 | user_id=9 | session_id=2 | action=finish
2025-09-25 11:28:50.466025 | user_id=10 | session_id=3 | action=start
2025-09-25 11:28:50.470103 | user_id=10 | session_id=3 | action=pause
2025-09-25 11:28:50.474392 | user_id=10 | session_id=3 | action=restart
2025-09-25 11:28:50.478097 | user_id=10 | session_id=3 | action=finish
2025-09-25 11:28:50.664665 | user_id=11 | session_id=4 | action=start
2025-09-25 11:28:50.853728 | user_id=12 | session_id=5 | action=set_goal
2025-09-25 11:28:51.416819 | user_id=14 | session_id=7 | action=finish
2025-09-25 11:29:10.139290 | user_id=9 | session_id=2 | action=start
2025-09-25 11:29:10.145320 | user_id=9 | session_id=2 | action=pause
2025-09-25 11:29:10.149678 | user_id=9 | session_id=2 | action=restart
2025-09-25 11:29:10.153493 | user_id=9 | session_id=2 | action=finish
2025-09-25 11:29:10.337365 | user_id=10 | session_id=3 | action=start
2025-09-25 11:29:10.341342 | user_id=10 | session_id=3 | action=pause
2025-09-25 11:29:10.344947 | user_id=10 | session_id=3 | action=restart
2025-09-25 11:29:10.348327 | user_id=10 | session_id=3 | action=finish
2025-09-25 11:29:10.534419 | user_id=11 | session_id=4 | action=start
2025-09-25 11:29:10.720280 | user_id=12 | session_id=5 | action=set_goal
2025-09-25 11:29:11.224015 | user_id=14 | session_id=7 | action=finish
2025-09-25 11:30:35.241097 | user_id=9 | session_id=2 | action=start
2025-09-25 11:30:35.246871 | user_id=9 | session_id=2 | action=pause
2025-09-25 11:30:35.251341 | user_id=9 | session_id=2 | action=restart
2025-09-25 11:30:35.254760 | user_id=9 | session_id=2 | action=finish
2025-09-25 11:30:35.438463 | user_id=10 | session_id=3 | action=start
2025-09-25 11:30:35.442510 | user_id=10 | session_id=3 | action=pause
2025-09-25 11:30:35.447037 | user_id=10 | session_id=3 | action=restart
2025-09-25 11:30:35.451993 | user_id=10 | session_id=3 | action=finish
2025-09-25 11:30:35.643210 | user_id=11 | session_id=4 | action=start
2025-09-25 11:30:35.831015 | user_id=12 | session_id=5 | action=set_goal
2025-09-25 11:30:36.345084 | user_id=14 | session_id=7 | action=finish
2025-09-25 11:31:27.763714 | user_id=9 | session_id=2 | action=start
2025-09-25 11:31:27.787644 | user_id=9 | session_id=2 | action=pause
2025-09-25 11:31:27.796924 | user_id=9 | session_id=2 | action=restart
2025-09-25 11:31:27.808691 | user_id=9 | session_id=2 | action=finish
2025-09-25 11:31:28.132523 | user_id=10 | session_id=3 | action=start
2025-09-25 11:31:28.147017 | user_id=10 | session_id=3 | action=pause
2025-09-25 11:31:28.160663 | user_id=10 | session_id=3 | action=restart
2025-09-25 11:31:28.170594 | user_id=10 | session_id=3 | action=finish
2025-09-25 11:31:28.481062 | user_id=11 | session_id=4 | action=start
2025-09-25 11:31:28.761774 | user_id=12 | session_id=5 | action=set_goal
2025-09-25 11:31:29.559035 | user_id=14 | session_id=7 | action=finish
2025-09-25 11:31:48.872521 | user_id=9 | session_id=2 | action=start
2025-09-25 11:31:48.878540 | user_id=9 | session_id=2 | action=pause
2025-09-25 11:31:48.883253 | user_id=9 | session_id=2 | action=restart
2025-09-25 11:31:48.886801 | user_id=9 | session_id=2 | action=finish
2025-09-25 11:31:49.082933 | user_id=10 | session_id=3 | action=start
2025-09-25 11:31:49.086335 | user_id=10 | session_id=3 | action=pause
2025-09-25 11:31:49.089755 | user_id=10 | session_id=3 | action=restart
2025-09-25 11:31:49.093307 | user_id=10 | session_id=3 | action=finish
2025-09-25 11:31:49.282386 | user_id=11 | session_id=4 | action=start
2025-09-25 11:31:49.475573 | user_id=12 | session_id=5 | action=set_goal
2025-09-25 11:31:49.982637 | user_id=14 | session_id=7 | action=finish
2025-09-25 11:32:06.285191 | user_id=9 | session_id=2 | action=start
2025-09-25 11:32:06.290742 | user_id=9 | session_id=2 | action=pause
2025-09-25 11:32:06.295033 | user_id=9 | session_id=2 | action=restart
2025-09-25 11:32:06.298636 | user_id=9 | session_id=2 | action=finish
2025-09-25 11:32:06.481335 | user_id=10 | session_id=3 | action=start
2025-09-25 11:32:06.485260 | user_id=10 | session_id=3 | action=pause
2025-09-25 11:32:06.489337 | user_id=10 | session_id=3 | action=restart
2025-09-25 11:32:06.493723 | user_id=10 | session_id=3 | action=finish
2025-09-25 11:32:06.677585 | user_id=11 | session_id=4 | action=start
2025-09-25 11:32:06.866013 | user_id=12 | session_id=5 | action=set_goal
2025-09-25 11:32:07.397655 | user_id=14 | session_id=7 | action=finish
2025-09-25 11:32:14.491363 | user_id=1 | session_id=1 | action=finish
2025-09-25 11:33:08.051908 | user_id=1 | session_id=1 | action=finish
2025-09-25 11:35:57.687302 | user_id=1 | session_id=1 | action=finish
2025-09-25 11:42:46.316294 | user_id=1 | session_id=1 | action=finish
2025-09-25 11:46:27.852844 | user_id=1 | session_id=1 | action=finish
2025-09-25 11:48:01.267424 | user_id=1 | session_id=1 | action=finish
2025-09-25 11:52:58.150760 | user_id=1 | session_id=1 | action=finish
2025-09-25 12:03:07.948947 | user_id=1 | session_id=1 | action=finish_failed_no_start
2025-09-25 12:03:19.494491 | user_id=9 | session_id=2 | action=start
2025-09-25 12:03:19.499860 | user_id=9 | session_id=2 | action=pause
2025-09-25 12:03:19.503909 | user_id=9 | session_id=2 | action=restart
2025-09-25 12:03:19.507322 | user_id=9 | session_id=2 | action=finish
2025-09-25 12:03:19.692108 | user_id=10 | session_id=3 | action=start
2025-09-25 12:03:19.696172 | user_id=10 | session_id=3 | action=pause
2025-09-25 12:03:19.699772 | user_id=10 | session_id=3 | action=restart
2025-09-25 12:03:19.703250 | user_id=10 | session_id=3 | action=finish
2025-09-25 12:03:19.899847 | user_id=11 | session_id=4 | action=start
2025-09-25 12:03:20.095542 | user_id=12 | session_id=5 | action=set_goal
2025-09-25 12:03:20.702485 | user_id=14 | session_id=7 | action=finish_failed_no_start
2025-09-25 14:08:23.111703 | user_id=9 | session_id=2 | action=start
2025-09-25 14:08:23.118125 | user_id=9 | session_id=2 | action=pause
2025-09-25 14:08:23.122729 | user_id=9 | session_id=2 | action=restart
2025-09-25 14:08:23.131565 | user_id=9 | session_id=2 | action=finish
2025-09-25 14:08:23.324223 | user_id=10 | session_id=3 | action=start
2025-09-25 14:08:23.327587 | user_id=10 | session_id=3 | action=pause
2025-09-25 14:08:23.330486 | user_id=10 | session_id=3 | action=restart
2025-09-25 14:08:23.333340 | user_id=10 | session_id=3 | action=finish
2025-09-25 14:08:23.516254 | user_id=11 | session_id=4 | action=start
2025-09-25 14:08:23.707365 | user_id=12 | session_id=5 | action=set_goal
2025-09-25 14:08:24.248090 | user_id=14 | session_id=7 | action=finish_failed_no_start
2025-09-27 16:59:59.730470 | user_id=9 | session_id=2 | action=start
2025-09-27 16:59:59.741317 | user_id=9 | session_id=2 | action=pause
2025-09-27 16:59:59.747386 | user_id=9 | session_id=2 | action=restart
2025-09-27 16:59:59.757257 | user_id=9 | session_id=2 | action=finish
2025-09-27 16:59:59.999386 | user_id=10 | session_id=3 | action=start
2025-09-27 17:00:00.007604 | user_id=10 | session_id=3 | action=pause
2025-09-27 17:00:00.014597 | user_id=10 | session_id=3 | action=restart
2025-09-27 17:00:00.026233 | user_id=10 | session_id=3 | action=finish
2025-09-27 17:00:00.314138 | user_id=11 | session_id=4 | action=start
2025-09-27 17:00:00.619949 | user_id=12 | session_id=5 | action=set_goal
2025-09-27 17:00:01.362941 | user_id=14 | session_id=7 | action=finish_failed_no_start
2025-09-27 17:00:12.029042 | user_id=9 | session_id=2 | action=start
2025-09-27 17:00:12.037169 | user_id=9 | session_id=2 | action=pause
2025-09-27 17:00:12.045540 | user_id=9 | session_id=2 | action=restart
2025-09-27 17:00:12.054272 | user_id=9 | session_id=2 | action=finish
2025-09-27 17:00:12.287656 | user_id=10 | session_id=3 | action=start
2025-09-27 17:00:12.295580 | user_id=10 | session_id=3 | action=pause
2025-09-27 17:00:12.303225 | user_id=10 | session_id=3 | action=restart
2025-09-27 17:00:12.309369 | user_id=10 | session_id=3 | action=finish
2025-09-27 17:00:12.552388 | user_id=11 | session_id=4 | action=start
2025-09-27 17:00:12.822993 | user_id=12 | session_id=5 | action=set_goal
2025-09-27 17:00:13.527735 | user_id=14 | session_id=7 | action=finish_failed_no_start
2025-09-27 17:07:38.439536 | user_id=9 | session_id=2 | action=start
2025-09-27 17:07:38.444621 | user_id=9 | session_id=2 | action=pause
2025-09-27 17:07:38.448638 | user_id=9 | session_id=2 | action=restart
2025-09-27 17:07:38.451863 | user_id=9 | session_id=2 | action=finish
2025-09-27 17:07:38.641245 | user_id=10 | session_id=3 | action=start
2025-09-27 17:07:38.645057 | user_id=10 | session_id=3 | action=pause
2025-09-27 17:07:38.648446 | user_id=10 | session_id=3 | action=restart
2025-09-27 17:07:38.651776 | user_id=10 | session_id=3 | action=finish
2025-09-27 17:07:38.836389 | user_id=11 | session_id=4 | action=start
2025-09-27 17:07:39.021903 | user_id=12 | session_id=5 | action=set_goal
2025-09-27 17:07:39.507902 | user_id=14 | session_id=7 | action=finish_failed_no_start
2025-09-27 17:07:51.862401 | user_id=9 | session_id=2 | action=start
2025-09-27 17:07:51.867295 | user_id=9 | session_id=2 | action=pause
2025-09-27 17:07:51.870733 | user_id=9 | session_id=2 | action=restart
2025-09-27 17:07:51.873609 | user_id=9 | session_id=2 | action=finish
2025-09-27 17:07:52.058628 | user_id=10 | session_id=3 | action=start
2025-09-27 17:07:52.061891 | user_id=10 | session_id=3 | action=pause
2025-09-27 17:07:52.065169 | user_id=10 | session_id=3 | action=restart
2025-09-27 17:07:52.068755 | user_id=10 | session_id=3 | action=finish
2025-09-27 17:07:52.252049 | user_id=11 | session_id=4 | action=start
2025-09-27 17:07:52.435633 | user_id=12 | session_id=5 | action=set_goal
2025-09-27 17:07:52.923075 | user_id=14 | session_id=7 | action=finish_failed_no_start
2025-10-29 16:47:30.857658 | user_id=550e8400-e29b-41d4-a716-446655440000 | session_id=291fb272-3ec9-46d0-b8e1-ca2cc317b6b8 | action=start
